,index_0_node_Paper_col_0,index_1_node_Author_col_0,Paper___linked_with___Author_feat_col,graph_year
0,555043e845ce0a409eb4a22d,53f44a74dabfaedd74dff0cd,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
1,53e99984b7602d97021c8e76,53f9c677dabfae7f97afb4ae,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
2,53e99ec4b7602d9702791269,53f3893fdabfae4b34a26575,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
3,599c7b58601a182cd272b4c8,53f46319dabfaeecd6a00474,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
4,573697fe6e3b12023e6d7f9f,53f4559cdabfaee43ecb9ddf,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
5,53e9a782b7602d97030bcc3c,53f4542adabfaee1c0b24bc9,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
6,53e9b607b7602d970415c30a,53f7b97ddabfae92b40dbe47,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
7,56d87690dabfae2eee1c96a9,56308b6545cedb3399aac469,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
8,53e9b403b7602d9703ef460e,53f4315adabfaee4dc74bea1,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
9,53e9b3b2b7602d9703e99aca,542a5739dabfae646d552e76,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
10,53e9bc21b7602d97048889c7,53f43886dabfaee4dc796aad,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
11,556b0854240114513674655f,53f475b4dabfaefedbbab32f,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
12,53e99937b7602d9702175408,53f44786dabfaee43ec822ee,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
13,53e9ace2b7602d97036c0ad8,53f43847dabfaeecd69704bc,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
14,53e9aa3bb7602d97033aae35,53f7ca9ddabfae938c6dc6a2,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
15,53e9a433b7602d9702d513a3,53f42f89dabfaee0d9b18224,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
16,56d91460dabfae2eee501537,540837b7dabfae8faa6331b1,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
17,53e9aecbb7602d97038f6015,53f42d3fdabfaeb22f406455,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
18,53e9ac69b7602d97036399d5,53f443ffdabfaec09f1c03d3,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
19,5550470b45ce0a409eb6409b,54454761dabfae862da11218,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
20,59ae3c592bbe271c4c72136c,53f4655fdabfaee4dc849ed0,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
21,53e9a58bb7602d9702eb3670,53f47185dabfaee2a1dda9ae,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
22,53e9bdb2b7602d9704a5e7d2,53f45bdcdabfaefedbb635b0,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
23,53e9a0adb7602d970299314a,53f36cfadabfae4b349b31b7,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
24,53e9baa0b7602d97046cc15f,53f556badabfaea7cd1d5eaf,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
25,53e9af07b7602d970393fd3b,542a0a54dabfaec7081d8465,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
26,573697556e3b12023e63e999,53f44978dabfaee0d9bbfe5c,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
27,599c7ab8601a182cd26d8e19,5631c7d245ce1e5968bdf603,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
28,53e9b196b7602d9703c21024,53f455a4dabfaeb2ac0d435d,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
29,53e9a4ceb7602d9702dec5d3,540fefeedabfae450f4b86a9,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
30,5843778eac44360f108447bf,5619e0cf45ce1e59644f6e09,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
31,5a73cbd017c44a0b3035fcf6,53f45744dabfaedd74e317a5,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
32,599c7e12601a182cd2874bcd,53f432e8dabfaee0d9b41fe8,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.])}",2017
